basin	model	historical_variant	ssp585_variant	ubound_kt	historical_valid_count	historical_percentile_of_ubound	historical_vmax_min_kt	historical_vmax_max_kt	ssp585_2015_2049_vmax_at_historical_percentile_kt	ssp585_2015_2049_minus_ubound_kt	ssp585_2040_2074_vmax_at_historical_percentile_kt	ssp585_2040_2074_minus_ubound_kt	ssp585_2065_2099_vmax_at_historical_percentile_kt	ssp585_2065_2099_minus_ubound_kt
SI	BCC-CSM2-MR	r1i1p1f1	r1i1p1f1	170.000000	153300	91.713633	0.000000	203.691935	175.000000	5.000000	175.000000	5.000000	175.000000	5.000000
SI	CAMS-CSM1-0	r1i1p1f1	r1i1p1f1	170.000000	154138	94.983067	0.000000	200.919843	170.000000	0.000000	175.000000	5.000000	180.000000	10.000000
SI	CESM2	r1i1p1f1	r10i1p1f1	170.000000	131948	96.234880	0.000000	198.083880	175.000000	5.000000	175.000000	5.000000	180.000000	10.000000
SI	CNRM-CM6-1	r1i1p1f2	r1i1p1f2	170.000000	136564	91.791395	20.964499	210.749856	170.000000	0.000000	175.000000	5.000000	180.000000	10.000000
SI	CanESM5	r1i1p1f1	r1i1p1f1	170.000000	152880	98.712716	0.000000	214.837251	175.000000	5.000000	180.000000	10.000000	180.000000	10.000000
SI	EC-Earth3	r1i1p1f1	r1i1p1f1	170.000000	152880	93.447148	0.000000	211.780701	175.000000	5.000000	180.000000	10.000000	180.000000	10.000000
SI	FGOALS-f3-L	r1i1p1f1	r1i1p1f1	170.000000	141438	99.273887	0.000000	200.314646	170.000000	0.000000	175.000000	5.000000	175.000000	5.000000
SI	IPSL-CM6A-LR	r1i1p1f1	r1i1p1f1	170.000000	129328	97.137511	0.000000	206.806017	170.000000	0.000000	175.000000	5.000000	180.000000	10.000000
SI	MIROC6	r1i1p1f1	r1i1p1f1	170.000000	135617	95.742422	0.000000	212.587499	170.000000	0.000000	175.000000	5.000000	180.000000	10.000000
SI	MPI-ESM1-2-HR	r1i1p1f1	r1i1p1f1	170.000000	154560	92.715450	0.000000	217.625640	170.000000	0.000000	175.000000	5.000000	180.000000	10.000000
SI	MRI-ESM2-0	r1i1p1f1	r1i1p1f1	170.000000	144823	99.697562	0.000000	195.720017	175.000000	5.000000	175.000000	5.000000	180.000000	10.000000
SI	UKESM1-0-LL	r1i1p1f2	r1i1p1f2	170.000000	141652	98.591619	0.000000	197.940920	175.000000	5.000000	180.000000	10.000000	180.000000	10.000000
SP	ACCESS-ESM1-5	r1i1p1f1	r1i1p1f1	170.000000	188191	97.284142	0.000000	188.779826	175.000000	5.000000	175.000000	5.000000	175.000000	5.000000
